Time,createOrder,basket,getCatalogue,getItem,getCart,login,getOrders,catalogue,home,tags,getCustomer,viewOrdersPage,cataloguePage,getRelated,addToCart,catalogueSize,getAddress,getCard,showDetails
155.0,0.006956,0.001086,0.003488,0.003449,0.005747,0.01966,0.013806,0.001158,0.001484,0.002676,0.005458,0.001368,0.004425,0.003639,0.001271,0.003445,0.002683,0.007576,0.001225
160.0,0.008386,0.001241,0.003889,0.003772,0.009291,0.017749,0.017037,0.001141,0.001303,0.002982,0.00366,0.001157,0.003987,0.003494,0.001214,0.003716,0.003475,0.004196,0.001144
165.0,0.007059,0.001128,0.00394,0.004021,0.007109,0.01731,0.008823,0.001351,0.001437,0.003298,0.004442,0.001605,0.004545,0.003874,0.001381,0.00412,0.00322,0.003956,0.0012
170.0,0.00632,0.001215,0.003831,0.003322,0.007658,0.016233,0.0078,0.001637,0.001449,0.002822,0.004947,0.001287,0.003804,0.008164,0.0,0.003716,0.004129,0.003467,0.001139
175.0,0.007132,0.0,0.003891,0.006692,0.008904,0.016052,0.007179,0.001624,0.001551,0.002826,0.004026,0.001296,0.003797,0.003986,0.001549,0.003597,0.003168,0.003906,0.001476
180.0,0.006823,0.001473,0.003615,0.003782,0.007465,0.013502,0.007122,0.001649,0.001254,0.009306,0.004838,0.001527,0.00404,0.008067,0.001364,0.003373,0.0,0.004691,0.001693
185.0,0.0,0.001308,0.003577,0.00333,0.00973,0.036906,0.044255,0.001249,0.001386,0.002793,0.004273,0.001288,0.003844,0.003645,0.002249,0.003656,0.004099,0.009094,0.001339
190.0,0.006584,0.001687,0.003928,0.006046,0.009729,0.015706,0.006898,0.001284,0.00125,0.007783,0.004686,0.001228,0.00347,0.003324,0.001257,0.003389,0.003356,0.0032,0.001673
195.0,0.007372,0.001351,0.003898,0.007193,0.006688,0.017006,0.013693,0.00113,0.00126,0.002812,0.004662,0.001201,0.003818,0.003823,0.001127,0.003191,0.004365,0.011853,0.001344
200.0,0.017547,0.001395,0.003702,0.004751,0.005321,0.017556,0.007693,0.001281,0.001504,0.002878,0.003594,0.00148,0.004168,0.005131,0.001467,0.003518,0.003291,0.00385,0.001418
205.0,0.00616,0.001099,0.003389,0.003852,0.008044,0.015061,0.006696,0.001128,0.001348,0.009374,0.004936,0.001282,0.003257,0.006468,0.001282,0.003276,0.013331,0.003046,0.001191
210.0,0.00677,0.001372,0.003419,0.007276,0.006855,0.022001,0.007653,0.001205,0.001228,0.00278,0.005135,0.001298,0.003696,0.003416,0.0,0.003608,0.003536,0.003438,0.001196
215.0,0.007239,0.001474,0.004254,0.003815,0.008556,0.018449,0.006219,0.001154,0.001849,0.002495,0.003478,0.001405,0.003674,0.00344,0.010693,0.003347,0.003264,0.039666,0.002124
220.0,0.006076,0.001343,0.003591,0.00456,0.021426,0.035161,0.006758,0.001028,0.001286,0.002454,0.006677,0.001136,0.003633,0.003593,0.001246,0.003425,0.003155,0.003063,0.001173
225.0,0.007069,0.00127,0.004093,0.003461,0.010167,0.016915,0.015578,0.001577,0.001404,0.003599,0.005646,0.001953,0.004129,0.003889,0.001317,0.003705,0.008502,0.004342,0.001408
230.0,0.007157,0.001254,0.004005,0.004405,0.00693,0.017665,0.007339,0.001163,0.00139,0.012782,0.004099,0.001487,0.003618,0.003396,0.001739,0.003476,0.022413,0.003945,0.00159
235.0,0.006799,0.00127,0.003673,0.006068,0.005914,0.010469,0.011385,0.001164,0.001354,0.009609,0.006064,0.001588,0.003526,0.003114,0.001346,0.003218,0.002884,0.0,0.00111
240.0,0.007945,0.001096,0.004075,0.003626,0.011334,0.011606,0.00655,0.001314,0.001261,0.002868,0.004571,0.001283,0.003315,0.006582,0.008815,0.003417,0.003334,0.016012,0.001573
245.0,0.006939,0.001241,0.003346,0.008685,0.006219,0.012701,0.009144,0.002879,0.001124,0.002758,0.006255,0.00319,0.003336,0.009765,0.001367,0.004302,0.004236,0.003427,0.001254
250.0,0.006715,0.001704,0.003378,0.005808,0.008496,0.03566,0.025312,0.001442,0.00107,0.007169,0.004995,0.001101,0.003512,0.005366,0.00132,0.0077,0.002791,0.003205,0.001413
255.0,0.010495,0.001167,0.004337,0.004717,0.006419,0.01142,0.013254,0.001059,0.001358,0.002835,0.003752,0.001259,0.00359,0.007376,0.001089,0.003337,0.003923,0.003379,0.001162
260.0,0.006168,0.001395,0.003505,0.004899,0.013109,0.01515,0.008804,0.001134,0.001308,0.002685,0.00828,0.001411,0.003352,0.003714,0.013251,0.003712,0.003246,0.00337,0.00107
265.0,0.006268,0.001143,0.003547,0.003047,0.009398,0.017293,0.006598,0.001232,0.001394,0.002422,0.004651,0.001373,0.003145,0.002959,0.001315,0.007979,0.003569,0.003,0.001245
270.0,0.006444,0.001363,0.003928,0.007191,0.008091,0.011525,0.00633,0.001229,0.001343,0.002493,0.006752,0.001169,0.003743,0.003262,0.001239,0.003776,0.003441,0.012835,0.001149
275.0,0.006437,0.001266,0.00371,0.00473,0.006554,0.009763,0.009871,0.001173,0.001286,0.002882,0.004531,0.001116,0.003984,0.006562,0.001895,0.00367,0.003368,0.01,0.001264
280.0,0.012505,0.001348,0.003399,0.005037,0.010329,0.013112,0.00654,0.002224,0.001278,0.002701,0.003305,0.001218,0.003477,0.003373,0.001176,0.003294,0.003576,0.003212,0.001136
285.0,0.015586,0.00124,0.003495,0.008645,0.011807,0.011033,0.007411,0.001348,0.001303,0.002782,0.008479,0.001385,0.003833,0.003635,0.001368,0.003303,0.02175,0.013138,0.001336
290.0,0.007146,0.001146,0.003938,0.003344,0.006537,0.010822,0.006001,0.001393,0.001193,0.002849,0.008612,0.001094,0.003193,0.00312,0.001135,0.00401,0.004382,0.003715,0.001295
295.0,0.015508,0.001292,0.003488,0.005363,0.009222,0.010048,0.00665,0.001479,0.001459,0.002975,0.004954,0.001399,0.00366,0.007115,0.001343,0.003442,0.003808,0.003859,0.001244
300.0,0.006811,0.001253,0.003394,0.006378,0.00882,0.009951,0.006707,0.001168,0.001204,0.003145,0.004636,0.001773,0.00363,0.006767,0.001415,0.003439,0.003746,0.003152,0.001316
305.0,0.006555,0.001564,0.003501,0.003318,0.006333,0.015715,0.009011,0.001052,0.001163,0.003746,0.008069,0.001187,0.003257,0.003347,0.001951,0.003783,0.002983,0.002981,0.001225
310.0,0.007109,0.001597,0.003624,0.003898,0.006323,0.018953,0.012517,0.001236,0.00146,0.002658,0.005049,0.002993,0.003554,0.003525,0.001248,0.004114,0.004192,0.003687,0.001229
315.0,0.006518,0.001273,0.003283,0.007064,0.006556,0.009813,0.006528,0.001454,0.001249,0.006975,0.005698,0.001109,0.003738,0.004043,0.001082,0.008094,0.00292,0.003159,0.001052
320.0,0.006204,0.001206,0.003488,0.005128,0.009964,0.017493,0.007481,0.001204,0.001358,0.003174,0.003335,0.001042,0.003296,0.014052,0.001264,0.003296,0.003279,0.004292,0.001368
325.0,0.009671,0.001359,0.003439,0.003493,0.010479,0.021441,0.008413,0.001163,0.001349,0.00646,0.004047,0.001303,0.003972,0.004671,0.001381,0.00367,0.003622,0.003351,0.001114
330.0,0.006326,0.001262,0.003218,0.003221,0.008611,0.022756,0.012455,0.001159,0.001142,0.002623,0.004444,0.001195,0.004475,0.003627,0.001489,0.003128,0.00344,0.003321,0.001466
335.0,0.00654,0.001219,0.00338,0.005212,0.005308,0.009864,0.006587,0.001274,0.001148,0.018286,0.003936,0.001189,0.003132,0.006465,0.001158,0.003267,0.003749,0.004271,0.001287
340.0,0.006775,0.001225,0.003889,0.006232,0.007648,0.011536,0.007649,0.001412,0.00136,0.010913,0.008612,0.001418,0.003543,0.00377,0.001629,0.003584,0.003724,0.004848,0.001276
345.0,0.006054,0.001156,0.003532,0.004314,0.01081,0.012455,0.006275,0.001072,0.00115,0.008422,0.005424,0.001144,0.003493,0.003298,0.001449,0.003511,0.002999,0.003148,0.001265
350.0,0.006456,0.001732,0.003879,0.003628,0.008674,0.012624,0.012942,0.001391,0.001447,0.005905,0.003482,0.001236,0.004394,0.009224,0.001518,0.009427,0.02191,0.003165,0.001445
355.0,0.006828,0.001208,0.003536,0.006029,0.016568,0.019308,0.008157,0.001304,0.001115,0.005988,0.003626,0.001648,0.004464,0.009801,0.001502,0.003202,0.003006,0.003056,0.00117
360.0,0.007417,0.001176,0.003852,0.003299,0.009175,0.009193,0.01112,0.001188,0.001229,0.002748,0.003268,0.001218,0.003586,0.006467,0.001152,0.003171,0.003283,0.003123,0.001434
365.0,0.007473,0.0015,0.003755,0.007065,0.008648,0.010965,0.006888,0.001254,0.001442,0.003148,0.003374,0.00128,0.003439,0.015813,0.0,0.004129,0.003417,0.005089,0.001219
370.0,0.025275,0.001996,0.004364,0.007047,0.007939,0.025444,0.00677,0.001229,0.001176,0.003086,0.00347,0.001523,0.00357,0.003405,0.001481,0.003509,0.003325,0.003072,0.001345
375.0,0.006647,0.001308,0.003236,0.004785,0.008158,0.014706,0.006595,0.001166,0.001084,0.002533,0.004216,0.00105,0.00314,0.012256,0.014262,0.003602,0.0,0.0,0.001184
380.0,0.0,0.001376,0.003656,0.003551,0.010192,0.024855,0.006534,0.001266,0.001383,0.003156,0.005497,0.001487,0.00353,0.003582,0.001204,0.00821,0.003699,0.015589,0.001416
385.0,0.006238,0.001254,0.003472,0.005522,0.006714,0.00963,0.006372,0.002048,0.001274,0.003198,0.004603,0.001298,0.003361,0.003529,0.006585,0.003824,0.003868,0.00326,0.001259
390.0,0.006572,0.001186,0.003232,0.003409,0.007891,0.010638,0.005919,0.001124,0.001284,0.002718,0.004393,0.001095,0.003036,0.01051,0.00119,0.010903,0.003118,0.00526,0.001169
395.0,0.006482,0.001423,0.003568,0.004679,0.010102,0.03549,0.006823,0.001227,0.00131,0.002721,0.003496,0.001381,0.003501,0.005904,0.001195,0.00359,0.008301,0.003668,0.001249
400.0,0.013151,0.003893,0.004027,0.006843,0.005247,0.009635,0.007276,0.001737,0.001711,0.006565,0.005276,0.00152,0.003269,0.00335,0.001374,0.004748,0.003459,0.003668,0.001316
405.0,0.008061,0.001992,0.003448,0.003354,0.007987,0.025721,0.006316,0.001305,0.00131,0.008874,0.004875,0.001493,0.003347,0.003511,0.001418,0.0087,0.003118,0.0,0.001261
410.0,0.006511,0.001145,0.003797,0.006491,0.010696,0.009931,0.006393,0.001186,0.001351,0.00973,0.00468,0.001312,0.003975,0.015003,0.00151,0.003733,0.003611,0.003331,0.00123
415.0,0.008098,0.001421,0.004121,0.00634,0.008595,0.009942,0.013571,0.001345,0.001315,0.002925,0.004722,0.001136,0.004039,0.003775,0.001537,0.004555,0.0,0.0,0.001471
420.0,0.0,0.001229,0.003346,0.005139,0.016663,0.022016,0.006164,0.001104,0.001477,0.007781,0.004506,0.001103,0.003395,0.003137,0.001319,0.003242,0.002895,0.004093,0.001154
425.0,0.00583,0.001199,0.003976,0.005819,0.009414,0.009884,0.006339,0.001268,0.00151,0.002834,0.005378,0.001109,0.004444,0.004887,0.001351,0.003257,0.003605,0.003479,0.002243
430.0,0.014056,0.00118,0.004385,0.003365,0.009214,0.020872,0.012338,0.001315,0.001362,0.00254,0.003426,0.001393,0.003314,0.003429,0.001407,0.007178,0.003573,0.0,0.001282
435.0,0.005613,0.001205,0.004003,0.004743,0.007124,0.009589,0.00613,0.001067,0.001104,0.002817,0.004352,0.001099,0.00311,0.003427,0.001188,0.007766,0.004143,0.003059,0.001189
440.0,0.006134,0.00144,0.00339,0.004094,0.011019,0.014961,0.018463,0.001243,0.001258,0.002836,0.006094,0.001274,0.003552,0.005607,0.001991,0.003455,0.003313,0.004197,0.001299
445.0,0.006993,0.001463,0.003585,0.005102,0.005419,0.024902,0.006307,0.001127,0.001305,0.010653,0.005174,0.001377,0.003652,0.006779,0.001496,0.006816,0.010238,0.003651,0.001619
450.0,0.005704,0.001185,0.003409,0.004192,0.010845,0.020862,0.012519,0.001115,0.001148,0.002993,0.006,0.001059,0.003297,0.007011,0.0,0.003539,0.009198,0.003061,0.00124
455.0,0.006412,0.0,0.003467,0.005276,0.00647,0.009346,0.006976,0.001347,0.001686,0.002803,0.004872,0.001228,0.003411,0.01248,0.001221,0.003539,0.003093,0.003303,0.0014
460.0,0.006216,0.001226,0.003913,0.003186,0.0055,0.019716,0.009816,0.001192,0.001285,0.003007,0.004453,0.001379,0.003506,0.003286,0.020407,0.003583,0.003284,0.00321,0.001169
465.0,0.005893,0.001317,0.003287,0.005372,0.010946,0.024633,0.006014,0.001261,0.001692,0.002635,0.005516,0.002358,0.003177,0.004249,0.001188,0.0064,0.002876,0.016352,0.001114
470.0,0.005679,0.0,0.003517,0.003362,0.006163,0.011731,0.006123,0.00118,0.001138,0.002785,0.006289,0.001363,0.003415,0.007764,0.001261,0.003373,0.0,0.0,0.001214
475.0,0.0,0.001343,0.003291,0.004032,0.007038,0.009496,0.006437,0.001175,0.001223,0.006707,0.003421,0.001286,0.003582,0.003485,0.001444,0.014207,0.002951,0.015594,0.001471
480.0,0.005717,0.001223,0.003355,0.003323,0.00813,0.009517,0.013565,0.00153,0.001179,0.007327,0.005817,0.001475,0.003928,0.006496,0.001324,0.003596,0.003841,0.003555,0.001658
485.0,0.006536,0.001522,0.00401,0.006913,0.005801,0.009615,0.006298,0.001271,0.00124,0.003104,0.006446,0.001145,0.006186,0.005743,0.001796,0.003456,0.003205,0.003336,0.001337
490.0,0.005927,0.001415,0.003878,0.003717,0.009013,0.009697,0.00688,0.00134,0.001251,0.003523,0.003955,0.001166,0.003447,0.003586,0.001616,0.009058,0.0036,0.003367,0.001355
495.0,0.019212,0.001985,0.003612,0.005189,0.007342,0.010509,0.006398,0.001219,0.001173,0.003105,0.006508,0.001156,0.003534,0.00669,0.001469,0.003522,0.003269,0.011226,0.001241
500.0,0.011082,0.001266,0.00367,0.007239,0.005218,0.022047,0.009142,0.001235,0.001212,0.003522,0.003334,0.001177,0.00332,0.007116,0.001293,0.003503,0.002848,0.004001,0.001394
505.0,0.008402,0.001054,0.004226,0.003329,0.006475,0.014978,0.010606,0.001931,0.001179,0.003615,0.00374,0.001463,0.004286,0.009216,0.001322,0.008129,0.003934,0.004211,0.001177
